"","congress","start_date","chamber","state_abbrev","party_code","bioname","bioguide_id","birthday","cmltv_cong","cmltv_chamber","age_days","age_years","generation","lastname","stars"
"533",97,"1981-01-03","Senate","CO",200,"ARMSTRONG, William Lester","A000219","1937-03-16",5,2,15999,43.8028747433265,"Silent","ARMSTRONG",""
"534",98,"1983-01-03","Senate","CO",200,"ARMSTRONG, William Lester","A000219","1937-03-16",6,3,16729,45.8015058179329,"Silent","ARMSTRONG",""
"535",99,"1985-01-03","Senate","CO",200,"ARMSTRONG, William Lester","A000219","1937-03-16",7,4,17460,47.8028747433265,"Silent","ARMSTRONG",""
"536",100,"1987-01-03","Senate","CO",200,"ARMSTRONG, William Lester","A000219","1937-03-16",8,5,18190,49.8015058179329,"Silent","ARMSTRONG",""
"537",101,"1989-01-03","Senate","CO",200,"ARMSTRONG, William Lester","A000219","1937-03-16",9,6,18921,51.8028747433265,"Silent","ARMSTRONG",""
"652",74,"1935-01-03","Senate","FL",100,"ANDREWS, Charles Oscar","A000244","1877-03-07",1,1,21120,57.82340862423,"Missionary","ANDREWS",""
"653",75,"1937-01-03","Senate","FL",100,"ANDREWS, Charles Oscar","A000244","1877-03-07",2,2,21851,59.8247775496235,"Missionary","ANDREWS",""
"654",76,"1939-01-03","Senate","FL",100,"ANDREWS, Charles Oscar","A000244","1877-03-07",3,3,22581,61.82340862423,"Missionary","ANDREWS",""
"655",77,"1941-01-03","Senate","FL",100,"ANDREWS, Charles Oscar","A000244","1877-03-07",4,4,23312,63.8247775496235,"Missionary","ANDREWS",""
"656",78,"1943-01-03","Senate","FL",100,"ANDREWS, Charles Oscar","A000244","1877-03-07",5,5,24042,65.82340862423,"Missionary","ANDREWS",""
"657",79,"1945-01-03","Senate","FL",100,"ANDREWS, Charles Oscar","A000244","1877-03-07",6,6,24773,67.8247775496235,"Missionary","ANDREWS",""
"714",66,"1919-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",5,5,16242,44.4681724845996,"Missionary","ASHURST",""
"715",67,"1921-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",6,6,16973,46.4695414099932,"Missionary","ASHURST",""
"716",68,"1923-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",7,7,17703,48.4681724845996,"Missionary","ASHURST",""
"717",69,"1925-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",8,8,18434,50.4695414099932,"Missionary","ASHURST",""
"718",70,"1927-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",9,9,19164,52.4681724845996,"Missionary","ASHURST",""
"719",71,"1929-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",10,10,19895,54.4695414099932,"Missionary","ASHURST",""
"720",72,"1931-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",11,11,20625,56.4681724845996,"Missionary","ASHURST",""
"721",73,"1933-03-04","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",12,12,21356,58.4695414099932,"Missionary","ASHURST",""
"722",74,"1935-01-03","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",13,13,22026,60.3039014373717,"Missionary","ASHURST",""
"723",75,"1937-01-03","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",14,14,22757,62.3052703627652,"Missionary","ASHURST",""
"724",76,"1939-01-03","Senate","AZ",100,"ASHURST, Henry Fountain","A000319","1874-09-13",15,15,23487,64.3039014373717,"Missionary","ASHURST",""
"751",72,"1931-03-04","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",1,1,19469,53.3032169746749,"Missionary","AUSTIN",""
"752",73,"1933-03-04","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",2,2,20200,55.3045859000684,"Missionary","AUSTIN",""
"753",74,"1935-01-03","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",3,3,20870,57.138945927447,"Missionary","AUSTIN",""
"754",75,"1937-01-03","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",4,4,21601,59.1403148528405,"Missionary","AUSTIN",""
"755",76,"1939-01-03","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",5,5,22331,61.138945927447,"Missionary","AUSTIN",""
"756",77,"1941-01-03","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",6,6,23062,63.1403148528405,"Missionary","AUSTIN",""
"757",78,"1943-01-03","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",7,7,23792,65.138945927447,"Missionary","AUSTIN",""
"758",79,"1945-01-03","Senate","VT",200,"AUSTIN, Warren Robinson","A000342","1877-11-12",8,8,24523,67.1403148528405,"Missionary","AUSTIN",""
"768",104,"1995-01-03","Senate","MI",200,"ABRAHAM, Spencer","A000355","1952-06-12",1,1,15545,42.5598904859685,"Boomers","ABRAHAM",""
"769",105,"1997-01-03","Senate","MI",200,"ABRAHAM, Spencer","A000355","1952-06-12",2,2,16276,44.5612594113621,"Boomers","ABRAHAM",""
"770",106,"1999-01-03","Senate","MI",200,"ABRAHAM, Spencer","A000355","1952-06-12",3,3,17006,46.5598904859685,"Boomers","ABRAHAM",""
"771",104,"1995-01-03","Senate","MO",200,"ASHCROFT, John David","A000356","1942-05-09",1,1,19232,52.6543463381246,"Silent","ASHCROFT",""
"772",105,"1997-01-03","Senate","MO",200,"ASHCROFT, John David","A000356","1942-05-09",2,2,19963,54.6557152635181,"Silent","ASHCROFT",""
"773",106,"1999-01-03","Senate","MO",200,"ASHCROFT, John David","A000356","1942-05-09",3,3,20693,56.6543463381246,"Silent","ASHCROFT",""
"786",108,"2003-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",1,1,22829,62.5023956194387,"Silent","ALEXANDER",""
"787",109,"2005-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",2,2,23560,64.5037645448323,"Silent","ALEXANDER",""
"788",110,"2007-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",3,3,24290,66.5023956194387,"Silent","ALEXANDER",""
"789",111,"2009-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",4,4,25021,68.5037645448323,"Silent","ALEXANDER",""
"790",112,"2011-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",5,5,25751,70.5023956194387,"Silent","ALEXANDER",""
"791",113,"2013-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",6,6,26482,72.5037645448323,"Silent","ALEXANDER",""
"792",114,"2015-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",7,7,27212,74.5023956194387,"Silent","ALEXANDER",""
"793",115,"2017-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",8,8,27943,76.5037645448323,"Silent","ALEXANDER",""
"794",116,"2019-01-03","Senate","TN",200,"ALEXANDER, Lamar","A000360","1940-07-03",9,9,28673,78.5023956194387,"Silent","ALEXANDER",""
"815",112,"2011-01-03","Senate","NH",200,"AYOTTE, Kelly","A000368","1968-06-27",1,1,15530,42.5188227241615,"Gen X","AYOTTE",""
"816",113,"2013-01-03","Senate","NH",200,"AYOTTE, Kelly","A000368","1968-06-27",2,2,16261,44.5201916495551,"Gen X","AYOTTE",""
"817",114,"2015-01-03","Senate","NH",200,"AYOTTE, Kelly","A000368","1968-06-27",3,3,16991,46.5188227241615,"Gen X","AYOTTE",""
"870",72,"1931-03-04","Senate","TN",100,"BACHMAN, Nathan Lynn","B000010","1878-08-02",1,1,19206,52.5831622176591,"Missionary","BACHMAN",""
"871",73,"1933-03-04","Senate","TN",100,"BACHMAN, Nathan Lynn","B000010","1878-08-02",2,2,19937,54.5845311430527,"Missionary","BACHMAN",""
"872",74,"1935-01-03","Senate","TN",100,"BACHMAN, Nathan Lynn","B000010","1878-08-02",3,3,20607,56.4188911704312,"Missionary","BACHMAN",""
"873",75,"1937-01-03","Senate","TN",100,"BACHMAN, Nathan Lynn","B000010","1878-08-02",4,4,21338,58.4202600958248,"Missionary","BACHMAN",""
"927",72,"1931-03-04","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",1,1,20989,57.4647501711157,"Missionary","BAILEY",""
"928",73,"1933-03-04","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",2,2,21720,59.4661190965092,"Missionary","BAILEY",""
"929",74,"1935-01-03","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",3,3,22390,61.3004791238877,"Missionary","BAILEY",""
"930",75,"1937-01-03","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",4,4,23121,63.3018480492813,"Missionary","BAILEY",""
"931",76,"1939-01-03","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",5,5,23851,65.3004791238878,"Missionary","BAILEY",""
"932",77,"1941-01-03","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",6,6,24582,67.3018480492813,"Missionary","BAILEY",""
"933",78,"1943-01-03","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",7,7,25312,69.3004791238878,"Missionary","BAILEY",""
"934",79,"1945-01-03","Senate","NC",100,"BAILEY, Josiah William","B000046","1873-09-14",8,8,26043,71.3018480492813,"Missionary","BAILEY",""
"937",71,"1929-03-04","Senate","NJ",200,"BAIRD, David, Jr.","B000053","1881-10-10",1,1,17311,47.3949349760438,"Missionary","BAIRD",""
"946",90,"1967-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",1,1,15024,41.1334702258727,"Greatest","BAKER",""
"947",91,"1969-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",2,2,15755,43.1348391512663,"Greatest","BAKER",""
"948",92,"1971-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",3,3,16485,45.1334702258727,"Greatest","BAKER",""
"949",93,"1973-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",4,4,17216,47.1348391512663,"Greatest","BAKER",""
"950",94,"1975-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",5,5,17946,49.1334702258727,"Greatest","BAKER",""
"951",95,"1977-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",6,6,18677,51.1348391512663,"Greatest","BAKER",""
"952",96,"1979-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",7,7,19407,53.1334702258727,"Greatest","BAKER",""
"953",97,"1981-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",8,8,20138,55.1348391512663,"Greatest","BAKER",""
"954",98,"1983-01-03","Senate","TN",200,"BAKER, Howard Henry, Jr.","B000063","1925-11-15",9,9,20868,57.1334702258727,"Greatest","BAKER",""
"993",79,"1945-01-03","Senate","CT",200,"BALDWIN, Raymond Earl","B000095","1893-08-31",1,1,18752,51.3401779603012,"Lost","BALDWIN",""
"994",80,"1947-01-03","Senate","CT",200,"BALDWIN, Raymond Earl","B000095","1893-08-31",2,2,19482,53.3388090349076,"Lost","BALDWIN",""
"995",81,"1949-01-03","Senate","CT",200,"BALDWIN, Raymond Earl","B000095","1893-08-31",3,3,20213,55.3401779603012,"Lost","BALDWIN",""
"996",76,"1939-01-03","Senate","MN",200,"BALL, Joseph Hurst","B000099","1905-11-03",1,1,12114,33.1663244353183,"Greatest","BALL",""
"997",77,"1941-01-03","Senate","MN",200,"BALL, Joseph Hurst","B000099","1905-11-03",2,2,12845,35.1676933607118,"Greatest","BALL",""
"998",78,"1943-01-03","Senate","MN",200,"BALL, Joseph Hurst","B000099","1905-11-03",3,3,13575,37.1663244353183,"Greatest","BALL",""
"999",79,"1945-01-03","Senate","MN",200,"BALL, Joseph Hurst","B000099","1905-11-03",4,4,14306,39.1676933607118,"Greatest","BALL",""
"1000",80,"1947-01-03","Senate","MN",200,"BALL, Joseph Hurst","B000099","1905-11-03",5,5,15036,41.1663244353183,"Greatest","BALL",""
"1001",66,"1919-03-04","Senate","DE",200,"BALL, Lewis Heisler","B000100","1861-09-21",3,2,20982,57.4455852156057,"Missionary","BALL",""
"1002",67,"1921-03-04","Senate","DE",200,"BALL, Lewis Heisler","B000100","1861-09-21",4,3,21713,59.4469541409993,"Missionary","BALL",""
"1003",68,"1923-03-04","Senate","DE",200,"BALL, Lewis Heisler","B000100","1861-09-21",5,4,22443,61.4455852156057,"Missionary","BALL",""
"1016",66,"1919-03-04","Senate","AL",100,"BANKHEAD, John Hollis","B000110","1842-09-13",17,7,27930,76.4681724845996,"Gilded","BANKHEAD",""
"1017",72,"1931-03-04","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",1,1,21422,58.6502395619439,"Missionary","BANKHEAD",""
"1018",73,"1933-03-04","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",2,2,22153,60.6516084873374,"Missionary","BANKHEAD",""
"1019",74,"1935-01-03","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",3,3,22823,62.485968514716,"Missionary","BANKHEAD",""
"1020",75,"1937-01-03","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",4,4,23554,64.4873374401095,"Missionary","BANKHEAD",""
"1021",76,"1939-01-03","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",5,5,24284,66.485968514716,"Missionary","BANKHEAD",""
"1022",77,"1941-01-03","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",6,6,25015,68.4873374401095,"Missionary","BANKHEAD",""
"1023",78,"1943-01-03","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",7,7,25745,70.485968514716,"Missionary","BANKHEAD",""
"1024",79,"1945-01-03","Senate","AL",100,"BANKHEAD, John Hollis II","B000111","1872-07-08",8,8,26476,72.4873374401095,"Missionary","BANKHEAD",""
"1045",72,"1931-03-04","Senate","NJ",200,"BARBOUR, William Warren","B000132","1888-07-31",1,1,15555,42.5872689938398,"Lost","BARBOUR",""
"1046",73,"1933-03-04","Senate","NJ",200,"BARBOUR, William Warren","B000132","1888-07-31",2,2,16286,44.5886379192334,"Lost","BARBOUR",""
"1047",74,"1935-01-03","Senate","NJ",200,"BARBOUR, William Warren","B000132","1888-07-31",3,3,16956,46.4229979466119,"Lost","BARBOUR",""
