X.1,X,respondent_id,gender,age,height,children_under_18,household_income,education,location,frequency,recline_frequency,recline_obligation,recline_rude,recline_eliminate,switch_seats_friends,switch_seats_family,wake_up_bathroom,wake_up_walk,baby,unruly_child,two_arm_rests,middle_arm_rest,shade,unsold_seat,talk_stranger,get_up,electronics,smoked,edu,NAcount,nrecline_rude,ngender
63,63,3433766902,Male,18-29,"5'8""",FALSE,"$100,000 - $149,999",Some college or Associate degree,Pacific,Once a month or less,Once in a while,TRUE,Somewhat,FALSE,No,Somewhat,Somewhat,Very,No,Somewhat,The arm rests should be shared,The person in aisle,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,2,2
64,64,3433704267,NA,NA,"5'9""",FALSE,NA,NA,NA,Once a year or less,Always,FALSE,No,FALSE,NA,NA,NA,NA,NA,NA,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,Somewhat,Twice,NA,NA,NA,14,1,NA
65,65,3433702768,Male,30-44,"5'7""",FALSE,"$0 - $24,999",Bachelor degree,Middle Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,Somewhat,Somewhat,Twice,FALSE,FALSE,1,0,2,2
66,66,3433696677,Male,30-44,"5'9""",FALSE,"$50,000 - $99,999",Bachelor degree,South Atlantic,Once a year or less,Usually,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,1,2
67,67,3433682046,Male,30-44,"5'9""",TRUE,"$100,000 - $149,999",High school degree,Pacific,Once a year or less,Never,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,0,0,1,2
68,68,3433675127,Male,30-44,"6'4""",FALSE,"$50,000 - $99,999",Some college or Associate degree,West South Central,Once a year or less,Once in a while,TRUE,No,FALSE,Somewhat,No,Somewhat,Somewhat,Somewhat,Very,The arm rests should be shared,The person in aisle,Everyone in the row should have some say,No,No,Once,TRUE,FALSE,1,0,1,2
69,69,3433674615,Male,30-44,"5'9""",FALSE,"$100,000 - $149,999",Graduate degree,East North Central,Once a month or less,Once in a while,FALSE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
70,70,3433674116,Male,18-29,"5'10""",FALSE,"$0 - $24,999",Bachelor degree,East North Central,Once a year or less,Never,TRUE,Somewhat,TRUE,Somewhat,Somewhat,Somewhat,Very,No,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,No,No,Once,FALSE,FALSE,1,0,2,2
71,71,3433673902,Male,18-29,Under 5 ft.,FALSE,"$25,000 - $49,999",Less than high school degree,South Atlantic,Once a year or less,Once in a while,TRUE,Somewhat,FALSE,Somewhat,No,Somewhat,Very,Very,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,Somewhat,More than five times times,FALSE,FALSE,0,0,2,2
72,72,3433669889,Male,30-44,NA,NA,"$0 - $24,999",Some college or Associate degree,East South Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
73,73,3433547088,Male,18-29,NA,NA,NA,Some college or Associate degree,Mountain,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,2
74,74,3433546426,Male,30-44,"5'7""",TRUE,"$100,000 - $149,999",Graduate degree,West North Central,Once a month or less,Once in a while,TRUE,No,FALSE,No,No,Somewhat,Somewhat,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,1,0,1,2
75,75,3433532135,Male,30-44,"6'4""",FALSE,"$0 - $24,999",Bachelor degree,East North Central,Once a year or less,Always,FALSE,Somewhat,TRUE,No,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,2,2
76,76,3433529889,Male,18-29,NA,NA,"$25,000 - $49,999",Some college or Associate degree,Pacific,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
77,77,3433508090,Male,18-29,"5'8""",FALSE,"$25,000 - $49,999",Some college or Associate degree,Pacific,Once a year or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,No,Somewhat,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,1,2
78,78,3433505616,Male,30-44,"5'7""",FALSE,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,Once a year or less,Never,TRUE,Somewhat,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,More than five times times,FALSE,FALSE,1,0,2,2
79,79,3433498776,Male,30-44,"5'11""",FALSE,"$100,000 - $149,999",High school degree,South Atlantic,Once a year or less,Usually,FALSE,No,FALSE,Somewhat,Somewhat,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,No,No,Three times,FALSE,FALSE,0,0,1,2
80,80,3433491130,Male,18-29,"5'6""",FALSE,"$0 - $24,999",High school degree,West South Central,Once a year or less,Never,TRUE,No,FALSE,No,No,No,No,Somewhat,Very,Other (please specify),The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,0,0,1,2
81,81,3433481077,Male,30-44,"5'9""",FALSE,NA,High school degree,Middle Atlantic,Once a year or less,Usually,TRUE,Somewhat,TRUE,No,No,Very,Very,Somewhat,Somewhat,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,Somewhat,Somewhat,Twice,TRUE,FALSE,0,1,2,2
82,82,3433469104,Male,18-29,"5'9""",FALSE,"$0 - $24,999",Bachelor degree,West South Central,Once a year or less,Always,TRUE,No,FALSE,Somewhat,Somewhat,Somewhat,Very,No,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,1,2
83,83,3433455019,Male,30-44,"6'2""",FALSE,"$25,000 - $49,999",Bachelor degree,East North Central,Once a year or less,Usually,FALSE,No,FALSE,No,No,No,Somewhat,No,Somewhat,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,1,0,1,2
84,84,3433451973,Male,30-44,"6'0""",FALSE,"$100,000 - $149,999",Some college or Associate degree,West South Central,Once a year or less,Never,TRUE,Very,TRUE,Somewhat,Somewhat,No,Very,Somewhat,Very,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,Somewhat,Very,Once,FALSE,FALSE,1,0,3,2
85,85,3433444761,Male,30-44,"5'11""",FALSE,NA,Bachelor degree,Pacific,Once a month or less,Once in a while,TRUE,No,FALSE,No,No,No,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,1,1,2
86,86,3433443270,Male,30-44,"5'8""",TRUE,NA,Bachelor degree,Pacific,Once a month or less,Never,TRUE,Somewhat,TRUE,No,No,No,No,No,Somewhat,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,TRUE,FALSE,1,1,2,2
87,87,3433421347,Male,30-44,"6'2""",TRUE,"$50,000 - $99,999",Graduate degree,Pacific,Once a year or less,Usually,TRUE,No,FALSE,No,No,Somewhat,Somewhat,Somewhat,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Three times,FALSE,FALSE,1,0,1,2
88,88,3433413347,Male,45-60,NA,NA,NA,Bachelor degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,2
89,89,3433408077,Male,18-29,NA,NA,NA,Some college or Associate degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,2
90,90,3433405051,Male,45-60,"6'1""",FALSE,"$50,000 - $99,999",Graduate degree,West South Central,Once a year or less,Once in a while,TRUE,Somewhat,TRUE,No,No,No,Somewhat,Very,Very,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,No,No,Twice,FALSE,FALSE,1,0,2,2
91,91,3433400808,Male,45-60,NA,NA,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
92,92,3433400150,Male,30-44,NA,NA,"$50,000 - $99,999",Bachelor degree,West South Central,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
93,93,3433396155,Male,45-60,NA,NA,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,Never,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,2
